{}type,description
book,"This Barnes & Noble Exclusive Edition features special effects on the jacket with an exclusive removable poster.Zombie in Love meets Gustavo, the Shy Ghost in this story about a young zombie who must decide: Are brains friends…or food?Zeb comes from a family of farmers—zombie farmers. Each week they pickle, bake, fry, and sell their grain-fed, free-range brains to be enjoyed by the masses. Zeb understands that brains are food, not pets…until one day he comes across the tiniest, pinkest, squishiest brain he ever did see! Can he convince his parents that his brainy bestie is better off as a member of the family than family dinner?"
author," Stephanie V.W. Lucianovic is the author of The End of Something Wonderful ; Hello, Star; The League of Picky Eaters; What is Hope; and Hummingbird Season. She writes books in the San Francisco Bay Area surrounded by a few kids, a few cats, and one husband.@grubreport https://www.stephanielucianovic.com/Laan Cham is a wandering dreamer with a BIG imagination who enjoys all things cute, random, and a little bit strange. (Because the best things in life are kind of out there.) She aims to spread joy through her stories and illustrations by encapsulating all the things she loves. Laan's picture books include Somewhere in Between and Mao Mao's Perfectly Imperfect Day. Connect with her on Instagram @laan.cham and www.laancham.com."
book,"From #1 bestselling author of The Perfect Couple Elin Hilderbrand, and her daughter, Shelby Cunningham: the irresistible, deliciously scandalous story of one drama-filled year at a New England boarding school. It’s move-in day at Tiffin Academy and amidst the happy chaos of friends reuniting, selfies uploading, and cars unloading, shocking news arrives: America Today just ranked Tiffin the number two boarding school in the country. It’s a seventeen-spot jump – was there a typo? The dorms need to be renovated, their sports teams always come in last place, and let’s just say Tiffin students are known for being more social than academic. On the other hand, the campus is exquisite, class sizes are small, and the dining hall is run by an acclaimed New York chef. And they do have fun—lots of parties and school dances, and a piano man plays in the student lounge every Monday night. But just as the rarefied air of Tiffin is suffused with self-congratulation, the wheels begin to turn – and then they fall off the bus. One by one, scandalous blind items begin to appear on phones across Tiffin’s campus, thanks to a new app called ZipZap, and nobody is safe. From Davi Banerjee, international influencer and resident queen bee, to Simone Bergeron, the new and surprisingly young history teacher, to Charley Hicks, a transfer student who seems determined not to fit in, to Cordelia Spooner, Admissions Director with a somewhat idiosyncratic methodology – everyone has something to hide. As if high school wasn’t dramatic enough...As the year unfolds, bonds are forged and broken, secrets are shared and exposed, and the lives of Tiffin’s students and staff are changed forever. The Academy is Elin Hilderbrand’s fresh, buzzy take on boarding school life, and a thrilling new direction from one of America’s most satisfying and popular storytellers."
author," Elin Hilderbrand is a graduate of the Johns Hopkins University and the University of Iowa Writers Workshop. The Academy is her thirty-first novel, and the first co-written with her daughter, Shelby Cunningham. Hilderbrand is the co-host of the podcast ""Books, Beach and Beyond"" along with @TimTalksBooks creator, Tim Ehrenberg. She is raising four young adult children and likes to spend her free time at the beach and on her Peloton. She's a grateful ten-year breast cancer survivor.Shelby Cunningham was born and raised on Nantucket Island. She’s a 2024 graduate of St. George’s School in Middletown, Rhode Island. She is presently a student at the University of Miami in Coral Gables."
book,"Meet one of the most unforgettable new protagonists in fiction: Phoebe Berman. She has one month to lose her virginity before she turns thirty—if her own anxiety doesn’t slow her down. A charmingly authentic and heartwarming debut novel from podcaster and comedian Brooke Averick.Is it possible to find true love when going on a date makes you want to throw up?Phoebe Berman fears the one thing she wants the most: love, and everything that comes along with it. Thanks to an extremely unfortunate first kiss attempt, crippling intimacy anxiety has plagued her since she was a teen. With just a month to go before she turns thirty, Phoebe is still a virgin. Phoebe has so much going for her: a dream teaching job, a supportive and hilarious group of best friends, and all the romance novels a girl could want at her fingertips—but she can’t help but beat herself up over the one thing she can’t quite seem to figure out. Determined to change this, she drafts up the ultimate ""Guide to Losing My Virginity"" checklist with the hope of finally getting laid.Suddenly, she goes from a relatively boring (basically non-existent) dating life to juggling three romantic prospects at once. There's the gorgeous new fourth grade teacher at her school, a former high school classmate that resurfaces through Words with Friends, and there will always be her roommate, who might just be the best friends-to-lovers situation of her dreams.Phoebe’s love life quickly takes a turn in a way she never anticipated. But between the love “square” she’s gotten herself into and the stomachaches and cold sweats that surface whenever she gears up for a potential date, things are complicated. And Phoebe doesn’t do complicated. Phoebe Berman’s Gonna Lose It is a brutally honest and painfully relatable story for anyone who’s ever felt stuck between coming of age and coming apart."
author," Brooke Averick is best known for her podcast, Brooke and Connor Make a Podcast, where she speaks candidly and humorously about her struggles with OCD, anxiety, and depression, as well as her latest celebrity crushes, all while trying to convince her co-host to appreciate the magic of musical theatre. She's amassed a social media following of over 1.5M across numerous platforms. She studied Early Childhood Education at Boston University, and currently lives in Los Angeles with her two cats, Jonathan and Robert. Phoebe Berman’s Gonna Lose It is her first novel."
book,"THE INSTANT NEW YORK TIMES AND USA TODAY BESTSELLER, OCTOBER 2024 GOOD MORNING AMERICA BOOK CLUB PICK, OCTOBER 2024 INDIE NEXT PICK, AND OCTOBER 2024 LIBRARYREADS PICK NOW IN PAPERBACK!Deluxe limited edition features beautiful designed edges, color inside cover printing and cover flaps. This breathtaking collectible edition is only available on a limited first print run! “Exquisite and devastating. It won’t fail to move you.” —Shelley Parker-Chan, #1 bestselling author of She Who Became the SunInspired by the legend of Xishi, one of the famous Four Beauties of Ancient China, A Song to Drown Rivers is an epic novel steeped in myth about womanhood, war, sacrifice, and love against all odds as the fate of two kingdoms hangs in a delicate balance.Her beauty hides a deadly purpose.Xishi’s beauty is seen as a blessing to the villagers of Yue—convinced that the best fate for a girl is to marry well and support her family. When Xishi draws the attention of the famous young military advisor, Fanli, he presents her with a rare opportunity: to use her beauty as a weapon. One that could topple the rival neighboring kingdom of Wu, improve the lives of her people, and avenge her sister’s murder. All she has to do is infiltrate the enemy palace as a spy, seduce their immoral king, and weaken them from within.Trained by Fanli in everything from classical instruments to concealing emotion, Xishi hones her beauty into the perfect blade. But she knows Fanli can see through every deception she masters, the attraction between them burning away any falsehoods.Once inside the enemy palace, Xishi finds herself under the hungry gaze of the king’s advisors while the king himself shows her great affection. Despite his gentleness, a brutality lurks and Xishi knows she can never let her guard down. But the higher Xishi climbs in the Wu court, the farther she and Fanli have to fall—and if she is unmasked as a traitor, she will bring both kingdoms down.""Stunning and heart-rending."" —Chloe Gong, #1 bestselling author of Immortal Longings"
author," Ann Liang is the New York Times, USA Today, and Indie bestselling author of critically acclaimed young adult and adult fiction. Her books have been sold in over twenty foreign territories. Her work has been featured on Good Morning America as a GMA Book Club pick, and on the Today show, Cosmopolitan, PEOPLE, Harper’s Bazaar, Forbes, and more. Born in Beijing, she grew up traveling back and forth between China and Australia, but somehow ended up with an American accent. She now lives in Melbourne."
book,"NEW YORK TIMES BESTSELLER!Gilmore Girls fans! Pour yourselves a hot cup of tea and get ready to fall in love with this cozy YA romance that will have you dreaming of autumn all year long.Fall is a big deal in Briar Glen, a quaint and charming village in New England. That's when tourists from all over the country descend upon this picturesque town to see the babbling brooks and colorful leaves while sipping hot chocolate or pumpkin spice lattes.But sixteen-year-old Lucy Kane hates the uber-popular PSL. She finds it overrated -- especially when you consider the fact that there isn't even pumpkin in it! -- which is bad because she works at Cup o' Jo, the local coffee shop her mom owns. Business at Cup o' Jo hasn't been great in the off-season, but that's okay because it always picks up during the fall ...Until Java Junction, a multinational coffee chain, opens across the street and makes things harder for the small shop. And to make matters worse, it turns out Jack Harper, the new kid in school and Lucy's secret crush, is the son of the owner. Suddenly, fall doesn't seem like it'll be all it's cracked up to be. Will Lucy find a way to save her mom's coffee shop?"
author,"      Katie Cicatelli-Kuc spent a decade working as an in-house copy editor for major publishing houses before becoming a full-time freelancer and mom. She lives in Beacon, New York."
